date,city,country,parameter,value,unit,latitude,longitude,year,month,day_of_week,is_weekend,season
2020-01-21,São Paulo,Brazil,PM2.5,74.56,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-22,São Paulo,Brazil,PM2.5,68.35,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-23,São Paulo,Brazil,PM2.5,67.66,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-24,São Paulo,Brazil,PM2.5,83.29,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-25,São Paulo,Brazil,PM2.5,76.89,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-26,São Paulo,Brazil,PM2.5,67.78,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-27,São Paulo,Brazil,PM2.5,64.08,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-28,São Paulo,Brazil,PM2.5,72.83,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-29,São Paulo,Brazil,PM2.5,69.26,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-30,São Paulo,Brazil,PM2.5,74.7,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-31,São Paulo,Brazil,PM2.5,72.61,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-02-01,São Paulo,Brazil,PM2.5,78.94,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-02,São Paulo,Brazil,PM2.5,62.55,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-03,São Paulo,Brazil,PM2.5,86.26,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-04,São Paulo,Brazil,PM2.5,103.27,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-05,São Paulo,Brazil,PM2.5,87.57,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-06,São Paulo,Brazil,PM2.5,77.96,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-07,São Paulo,Brazil,PM2.5,84.73,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-08,São Paulo,Brazil,PM2.5,65.96,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-09,São Paulo,Brazil,PM2.5,60.35,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-10,São Paulo,Brazil,PM2.5,84.05,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-11,São Paulo,Brazil,PM2.5,71.07,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-12,São Paulo,Brazil,PM2.5,63.11,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-13,São Paulo,Brazil,PM2.5,67.9,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-14,São Paulo,Brazil,PM2.5,65.53,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-15,São Paulo,Brazil,PM2.5,78.3,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-16,São Paulo,Brazil,PM2.5,82.9,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-17,São Paulo,Brazil,PM2.5,86.08,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-18,São Paulo,Brazil,PM2.5,86.26,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-19,São Paulo,Brazil,PM2.5,84.98,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-20,São Paulo,Brazil,PM2.5,75.47,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-21,São Paulo,Brazil,PM2.5,71.42,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-22,São Paulo,Brazil,PM2.5,62.68,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-23,São Paulo,Brazil,PM2.5,88.87,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-24,São Paulo,Brazil,PM2.5,76.2,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-25,São Paulo,Brazil,PM2.5,73.97,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-26,São Paulo,Brazil,PM2.5,89.98,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-27,São Paulo,Brazil,PM2.5,69.29,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-28,São Paulo,Brazil,PM2.5,86.72,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-29,São Paulo,Brazil,PM2.5,81.43,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-03-01,São Paulo,Brazil,PM2.5,68.17,µg/m³,-23.5505,-46.6333,2020,3,6,1,Outono
2020-03-02,São Paulo,Brazil,PM2.5,77.88,µg/m³,-23.5505,-46.6333,2020,3,0,0,Outono
2020-03-03,São Paulo,Brazil,PM2.5,88.45,µg/m³,-23.5505,-46.6333,2020,3,1,0,Outono
2020-03-04,São Paulo,Brazil,PM2.5,86.76,µg/m³,-23.5505,-46.6333,2020,3,2,0,Outono
2020-03-05,São Paulo,Brazil,PM2.5,93.84,µg/m³,-23.5505,-46.6333,2020,3,3,0,Outono
2020-03-06,São Paulo,Brazil,PM2.5,82.34,µg/m³,-23.5505,-46.6333,2020,3,4,0,Outono
2020-03-07,São Paulo,Brazil,PM2.5,112.76,µg/m³,-23.5505,-46.6333,2020,3,5,1,Outono
2020-03-08,São Paulo,Brazil,PM2.5,69.9,µg/m³,-23.5505,-46.6333,2020,3,6,1,Outono
2020-03-09,São Paulo,Brazil,PM2.5,75.19,µg/m³,-23.5505,-46.6333,2020,3,0,0,Outono
2020-03-10,São Paulo,Brazil,PM2.5,78.63,µg/m³,-23.5505,-46.6333,2020,3,1,0,Outono
2020-03-11,São Paulo,Brazil,PM2.5,65.11,µg/m³,-23.5505,-46.6333,2020,3,2,0,Outono
2020-03-12,São Paulo,Brazil,PM2.5,89.79,µg/m³,-23.5505,-46.6333,2020,3,3,0,Outono
2020-03-13,São Paulo,Brazil,PM2.5,88.45,µg/m³,-23.5505,-46.6333,2020,3,4,0,Outono
2020-03-14,São Paulo,Brazil,PM2.5,79.66,µg/m³,-23.5505,-46.6333,2020,3,5,1,Outono
2020-03-15,São Paulo,Brazil,PM2.5,74.18,µg/m³,-23.5505,-46.6333,2020,3,6,1,Outono
2020-03-16,São Paulo,Brazil,PM2.5,64.62,µg/m³,-23.5505,-46.6333,2020,3,0,0,Outono
2020-03-17,São Paulo,Brazil,PM2.5,71.73,µg/m³,-23.5505,-46.6333,2020,3,1,0,Outono
2020-03-18,São Paulo,Brazil,PM2.5,87.1,µg/m³,-23.5505,-46.6333,2020,3,2,0,Outono
2020-03-19,São Paulo,Brazil,PM2.5,77.58,µg/m³,-23.5505,-46.6333,2020,3,3,0,Outono
2020-03-20,São Paulo,Brazil,PM2.5,75.47,µg/m³,-23.5505,-46.6333,2020,3,4,0,Outono
2020-03-21,São Paulo,Brazil,PM2.5,84.79,µg/m³,-23.5505,-46.6333,2020,3,5,1,Outono
2020-03-22,São Paulo,Brazil,PM2.5,91.39,µg/m³,-23.5505,-46.6333,2020,3,6,1,Outono
2020-03-23,São Paulo,Brazil,PM2.5,82.41,µg/m³,-23.5505,-46.6333,2020,3,0,0,Outono
2020-03-24,São Paulo,Brazil,PM2.5,83.01,µg/m³,-23.5505,-46.6333,2020,3,1,0,Outono
2020-03-25,São Paulo,Brazil,PM2.5,93.6,µg/m³,-23.5505,-46.6333,2020,3,2,0,Outono
2020-03-26,São Paulo,Brazil,PM2.5,81.66,µg/m³,-23.5505,-46.6333,2020,3,3,0,Outono
2020-03-27,São Paulo,Brazil,PM2.5,76.83,µg/m³,-23.5505,-46.6333,2020,3,4,0,Outono
2020-03-28,São Paulo,Brazil,PM2.5,86.67,µg/m³,-23.5505,-46.6333,2020,3,5,1,Outono
2020-03-29,São Paulo,Brazil,PM2.5,77.38,µg/m³,-23.5505,-46.6333,2020,3,6,1,Outono
2020-03-30,São Paulo,Brazil,PM2.5,76.28,µg/m³,-23.5505,-46.6333,2020,3,0,0,Outono
2020-03-31,São Paulo,Brazil,PM2.5,92.7,µg/m³,-23.5505,-46.6333,2020,3,1,0,Outono
2020-04-01,São Paulo,Brazil,PM2.5,77.04,µg/m³,-23.5505,-46.6333,2020,4,2,0,Outono
2020-04-02,São Paulo,Brazil,PM2.5,53.41,µg/m³,-23.5505,-46.6333,2020,4,3,0,Outono
2020-04-03,São Paulo,Brazil,PM2.5,83.41,µg/m³,-23.5505,-46.6333,2020,4,4,0,Outono
2020-04-04,São Paulo,Brazil,PM2.5,76.0,µg/m³,-23.5505,-46.6333,2020,4,5,1,Outono
2020-04-05,São Paulo,Brazil,PM2.5,77.05,µg/m³,-23.5505,-46.6333,2020,4,6,1,Outono
2020-04-06,São Paulo,Brazil,PM2.5,84.46,µg/m³,-23.5505,-46.6333,2020,4,0,0,Outono
2020-04-07,São Paulo,Brazil,PM2.5,78.25,µg/m³,-23.5505,-46.6333,2020,4,1,0,Outono
2020-04-08,São Paulo,Brazil,PM2.5,82.05,µg/m³,-23.5505,-46.6333,2020,4,2,0,Outono
2020-04-09,São Paulo,Brazil,PM2.5,59.65,µg/m³,-23.5505,-46.6333,2020,4,3,0,Outono
2020-04-10,São Paulo,Brazil,PM2.5,70.42,µg/m³,-23.5505,-46.6333,2020,4,4,0,Outono
2020-04-11,São Paulo,Brazil,PM2.5,93.86,µg/m³,-23.5505,-46.6333,2020,4,5,1,Outono
2020-04-12,São Paulo,Brazil,PM2.5,79.61,µg/m³,-23.5505,-46.6333,2020,4,6,1,Outono
2020-04-13,São Paulo,Brazil,PM2.5,63.02,µg/m³,-23.5505,-46.6333,2020,4,0,0,Outono
2020-04-14,São Paulo,Brazil,PM2.5,69.0,µg/m³,-23.5505,-46.6333,2020,4,1,0,Outono
2020-04-15,São Paulo,Brazil,PM2.5,69.76,µg/m³,-23.5505,-46.6333,2020,4,2,0,Outono
2020-04-16,São Paulo,Brazil,PM2.5,80.67,µg/m³,-23.5505,-46.6333,2020,4,3,0,Outono
2020-04-17,São Paulo,Brazil,PM2.5,75.27,µg/m³,-23.5505,-46.6333,2020,4,4,0,Outono
2020-04-18,São Paulo,Brazil,PM2.5,72.96,µg/m³,-23.5505,-46.6333,2020,4,5,1,Outono
2020-04-19,São Paulo,Brazil,PM2.5,79.54,µg/m³,-23.5505,-46.6333,2020,4,6,1,Outono
2020-04-20,São Paulo,Brazil,PM2.5,84.22,µg/m³,-23.5505,-46.6333,2020,4,0,0,Outono
2020-04-21,São Paulo,Brazil,PM2.5,76.8,µg/m³,-23.5505,-46.6333,2020,4,1,0,Outono
2020-04-22,São Paulo,Brazil,PM2.5,73.58,µg/m³,-23.5505,-46.6333,2020,4,2,0,Outono
2020-04-23,São Paulo,Brazil,PM2.5,75.06,µg/m³,-23.5505,-46.6333,2020,4,3,0,Outono
2020-04-24,São Paulo,Brazil,PM2.5,82.6,µg/m³,-23.5505,-46.6333,2020,4,4,0,Outono
2020-04-25,São Paulo,Brazil,PM2.5,79.07,µg/m³,-23.5505,-46.6333,2020,4,5,1,Outono
2020-04-26,São Paulo,Brazil,PM2.5,86.74,µg/m³,-23.5505,-46.6333,2020,4,6,1,Outono
2020-04-27,São Paulo,Brazil,PM2.5,67.5,µg/m³,-23.5505,-46.6333,2020,4,0,0,Outono
2020-04-28,São Paulo,Brazil,PM2.5,71.17,µg/m³,-23.5505,-46.6333,2020,4,1,0,Outono
2020-04-29,São Paulo,Brazil,PM2.5,86.58,µg/m³,-23.5505,-46.6333,2020,4,2,0,Outono
2020-04-30,São Paulo,Brazil,PM2.5,70.75,µg/m³,-23.5505,-46.6333,2020,4,3,0,Outono
2020-05-01,São Paulo,Brazil,PM2.5,92.52,µg/m³,-23.5505,-46.6333,2020,5,4,0,Outono
2020-05-02,São Paulo,Brazil,PM2.5,92.65,µg/m³,-23.5505,-46.6333,2020,5,5,1,Outono
2020-05-03,São Paulo,Brazil,PM2.5,92.43,µg/m³,-23.5505,-46.6333,2020,5,6,1,Outono
2020-05-04,São Paulo,Brazil,PM2.5,69.61,µg/m³,-23.5505,-46.6333,2020,5,0,0,Outono
2020-05-05,São Paulo,Brazil,PM2.5,79.09,µg/m³,-23.5505,-46.6333,2020,5,1,0,Outono
2020-05-06,São Paulo,Brazil,PM2.5,73.29,µg/m³,-23.5505,-46.6333,2020,5,2,0,Outono
2020-05-07,São Paulo,Brazil,PM2.5,87.36,µg/m³,-23.5505,-46.6333,2020,5,3,0,Outono
2020-05-08,São Paulo,Brazil,PM2.5,95.09,µg/m³,-23.5505,-46.6333,2020,5,4,0,Outono
2020-05-09,São Paulo,Brazil,PM2.5,86.66,µg/m³,-23.5505,-46.6333,2020,5,5,1,Outono
2020-05-10,São Paulo,Brazil,PM2.5,77.91,µg/m³,-23.5505,-46.6333,2020,5,6,1,Outono
2020-05-11,São Paulo,Brazil,PM2.5,74.06,µg/m³,-23.5505,-46.6333,2020,5,0,0,Outono
2020-05-12,São Paulo,Brazil,PM2.5,84.09,µg/m³,-23.5505,-46.6333,2020,5,1,0,Outono
2020-05-13,São Paulo,Brazil,PM2.5,65.26,µg/m³,-23.5505,-46.6333,2020,5,2,0,Outono
2020-05-14,São Paulo,Brazil,PM2.5,82.74,µg/m³,-23.5505,-46.6333,2020,5,3,0,Outono
2020-05-15,São Paulo,Brazil,PM2.5,68.11,µg/m³,-23.5505,-46.6333,2020,5,4,0,Outono
2020-05-16,São Paulo,Brazil,PM2.5,83.35,µg/m³,-23.5505,-46.6333,2020,5,5,1,Outono
2020-05-17,São Paulo,Brazil,PM2.5,75.41,µg/m³,-23.5505,-46.6333,2020,5,6,1,Outono
2020-05-18,São Paulo,Brazil,PM2.5,73.01,µg/m³,-23.5505,-46.6333,2020,5,0,0,Outono
2020-05-19,São Paulo,Brazil,PM2.5,67.92,µg/m³,-23.5505,-46.6333,2020,5,1,0,Outono
2020-05-20,São Paulo,Brazil,PM2.5,73.08,µg/m³,-23.5505,-46.6333,2020,5,2,0,Outono
2020-05-21,São Paulo,Brazil,PM2.5,82.08,µg/m³,-23.5505,-46.6333,2020,5,3,0,Outono
2020-05-22,São Paulo,Brazil,PM2.5,86.82,µg/m³,-23.5505,-46.6333,2020,5,4,0,Outono
2020-05-23,São Paulo,Brazil,PM2.5,81.52,µg/m³,-23.5505,-46.6333,2020,5,5,1,Outono
2020-05-24,São Paulo,Brazil,PM2.5,89.75,µg/m³,-23.5505,-46.6333,2020,5,6,1,Outono
2020-05-25,São Paulo,Brazil,PM2.5,101.37,µg/m³,-23.5505,-46.6333,2020,5,0,0,Outono
2020-05-26,São Paulo,Brazil,PM2.5,72.6,µg/m³,-23.5505,-46.6333,2020,5,1,0,Outono
2020-05-27,São Paulo,Brazil,PM2.5,73.64,µg/m³,-23.5505,-46.6333,2020,5,2,0,Outono
2020-05-28,São Paulo,Brazil,PM2.5,61.16,µg/m³,-23.5505,-46.6333,2020,5,3,0,Outono
2020-05-29,São Paulo,Brazil,PM2.5,87.32,µg/m³,-23.5505,-46.6333,2020,5,4,0,Outono
2020-05-30,São Paulo,Brazil,PM2.5,88.26,µg/m³,-23.5505,-46.6333,2020,5,5,1,Outono
2020-05-31,São Paulo,Brazil,PM2.5,66.45,µg/m³,-23.5505,-46.6333,2020,5,6,1,Outono
2020-06-01,São Paulo,Brazil,PM2.5,81.15,µg/m³,-23.5505,-46.6333,2020,6,0,0,Inverno
2020-06-02,São Paulo,Brazil,PM2.5,87.0,µg/m³,-23.5505,-46.6333,2020,6,1,0,Inverno
2020-06-03,São Paulo,Brazil,PM2.5,76.94,µg/m³,-23.5505,-46.6333,2020,6,2,0,Inverno
2020-06-04,São Paulo,Brazil,PM2.5,83.0,µg/m³,-23.5505,-46.6333,2020,6,3,0,Inverno
2020-06-05,São Paulo,Brazil,PM2.5,76.12,µg/m³,-23.5505,-46.6333,2020,6,4,0,Inverno
2020-06-06,São Paulo,Brazil,PM2.5,62.04,µg/m³,-23.5505,-46.6333,2020,6,5,1,Inverno
2020-06-07,São Paulo,Brazil,PM2.5,84.55,µg/m³,-23.5505,-46.6333,2020,6,6,1,Inverno
2020-06-08,São Paulo,Brazil,PM2.5,87.15,µg/m³,-23.5505,-46.6333,2020,6,0,0,Inverno
2020-06-09,São Paulo,Brazil,PM2.5,81.09,µg/m³,-23.5505,-46.6333,2020,6,1,0,Inverno
2020-06-10,São Paulo,Brazil,PM2.5,64.04,µg/m³,-23.5505,-46.6333,2020,6,2,0,Inverno
2020-06-11,São Paulo,Brazil,PM2.5,65.91,µg/m³,-23.5505,-46.6333,2020,6,3,0,Inverno
2020-06-12,São Paulo,Brazil,PM2.5,61.95,µg/m³,-23.5505,-46.6333,2020,6,4,0,Inverno
2020-06-13,São Paulo,Brazil,PM2.5,80.79,µg/m³,-23.5505,-46.6333,2020,6,5,1,Inverno
2020-06-14,São Paulo,Brazil,PM2.5,85.61,µg/m³,-23.5505,-46.6333,2020,6,6,1,Inverno
2020-06-15,São Paulo,Brazil,PM2.5,77.01,µg/m³,-23.5505,-46.6333,2020,6,0,0,Inverno
2020-06-16,São Paulo,Brazil,PM2.5,82.01,µg/m³,-23.5505,-46.6333,2020,6,1,0,Inverno
2020-06-17,São Paulo,Brazil,PM2.5,63.76,µg/m³,-23.5505,-46.6333,2020,6,2,0,Inverno
2020-06-18,São Paulo,Brazil,PM2.5,73.72,µg/m³,-23.5505,-46.6333,2020,6,3,0,Inverno
2020-06-19,São Paulo,Brazil,PM2.5,58.4,µg/m³,-23.5505,-46.6333,2020,6,4,0,Inverno
2020-06-20,São Paulo,Brazil,PM2.5,64.21,µg/m³,-23.5505,-46.6333,2020,6,5,1,Inverno
2020-06-21,São Paulo,Brazil,PM2.5,80.55,µg/m³,-23.5505,-46.6333,2020,6,6,1,Inverno
2020-06-22,São Paulo,Brazil,PM2.5,69.2,µg/m³,-23.5505,-46.6333,2020,6,0,0,Inverno
2020-06-23,São Paulo,Brazil,PM2.5,83.52,µg/m³,-23.5505,-46.6333,2020,6,1,0,Inverno
2020-06-24,São Paulo,Brazil,PM2.5,76.63,µg/m³,-23.5505,-46.6333,2020,6,2,0,Inverno
2020-06-25,São Paulo,Brazil,PM2.5,98.42,µg/m³,-23.5505,-46.6333,2020,6,3,0,Inverno
2020-06-26,São Paulo,Brazil,PM2.5,71.85,µg/m³,-23.5505,-46.6333,2020,6,4,0,Inverno
2020-06-27,São Paulo,Brazil,PM2.5,56.67,µg/m³,-23.5505,-46.6333,2020,6,5,1,Inverno
2020-06-28,São Paulo,Brazil,PM2.5,70.22,µg/m³,-23.5505,-46.6333,2020,6,6,1,Inverno
2020-01-01,São Paulo,Brazil,NO2,87.09,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-02,São Paulo,Brazil,NO2,102.79,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-03,São Paulo,Brazil,NO2,95.91,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-04,São Paulo,Brazil,NO2,105.45,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-05,São Paulo,Brazil,NO2,103.22,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-06,São Paulo,Brazil,NO2,97.93,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-07,São Paulo,Brazil,NO2,90.36,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-08,São Paulo,Brazil,NO2,83.85,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-09,São Paulo,Brazil,NO2,94.7,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-10,São Paulo,Brazil,NO2,107.9,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-11,São Paulo,Brazil,NO2,101.65,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-12,São Paulo,Brazil,NO2,87.22,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-13,São Paulo,Brazil,NO2,101.58,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-14,São Paulo,Brazil,NO2,103.87,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-15,São Paulo,Brazil,NO2,91.34,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-16,São Paulo,Brazil,NO2,101.89,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-17,São Paulo,Brazil,NO2,101.1,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-18,São Paulo,Brazil,NO2,89.25,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-19,São Paulo,Brazil,NO2,104.42,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-20,São Paulo,Brazil,NO2,106.62,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-21,São Paulo,Brazil,NO2,112.0,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-22,São Paulo,Brazil,NO2,111.87,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-23,São Paulo,Brazil,NO2,87.72,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-24,São Paulo,Brazil,NO2,92.27,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-25,São Paulo,Brazil,NO2,106.96,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-26,São Paulo,Brazil,NO2,107.11,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-27,São Paulo,Brazil,NO2,107.27,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-28,São Paulo,Brazil,NO2,140.81,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-29,São Paulo,Brazil,NO2,108.14,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-30,São Paulo,Brazil,NO2,113.94,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-31,São Paulo,Brazil,NO2,112.27,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-02-01,São Paulo,Brazil,NO2,109.4,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-02,São Paulo,Brazil,NO2,99.88,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-03,São Paulo,Brazil,NO2,110.77,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-04,São Paulo,Brazil,NO2,95.59,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-05,São Paulo,Brazil,NO2,101.1,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-06,São Paulo,Brazil,NO2,98.75,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-07,São Paulo,Brazil,NO2,104.56,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-08,São Paulo,Brazil,NO2,127.03,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-09,São Paulo,Brazil,NO2,85.34,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-10,São Paulo,Brazil,NO2,111.01,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-11,São Paulo,Brazil,NO2,88.16,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-12,São Paulo,Brazil,NO2,99.69,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-13,São Paulo,Brazil,NO2,115.43,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-14,São Paulo,Brazil,NO2,105.31,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-15,São Paulo,Brazil,NO2,94.01,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-16,São Paulo,Brazil,NO2,97.76,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-17,São Paulo,Brazil,NO2,111.83,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-18,São Paulo,Brazil,NO2,97.85,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-19,São Paulo,Brazil,NO2,107.43,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
2020-02-20,São Paulo,Brazil,NO2,105.83,µg/m³,-23.5505,-46.6333,2020,2,3,0,Verão
2020-02-21,São Paulo,Brazil,NO2,98.97,µg/m³,-23.5505,-46.6333,2020,2,4,0,Verão
2020-02-22,São Paulo,Brazil,NO2,127.04,µg/m³,-23.5505,-46.6333,2020,2,5,1,Verão
2020-02-23,São Paulo,Brazil,NO2,112.04,µg/m³,-23.5505,-46.6333,2020,2,6,1,Verão
2020-02-24,São Paulo,Brazil,NO2,85.56,µg/m³,-23.5505,-46.6333,2020,2,0,0,Verão
2020-02-25,São Paulo,Brazil,NO2,107.78,µg/m³,-23.5505,-46.6333,2020,2,1,0,Verão
2020-02-26,São Paulo,Brazil,NO2,99.39,µg/m³,-23.5505,-46.6333,2020,2,2,0,Verão
